id,pid,value,date,sys
1916156,Zong,67,"2022-08-11 14:25:15.014","2022-08-11 14:25:15.044"
1916156,Zong,64,"2022-08-11 14:25:15.014","2022-08-11 14:25:15.044"
1916157,Zong,61,"2022-08-11 14:25:15.075","2022-08-11 14:25:15.078"
1916157,Zong,60,"2022-08-11 14:25:15.075","2022-08-11 14:25:15.078"
1916158,Zong,60,"2022-08-11 14:25:15.105","2022-08-11 14:25:15.108"
1916158,Zong,61,"2022-08-11 14:25:15.105","2022-08-11 14:25:15.108"
1916159,Zong,62,"2022-08-11 14:25:15.134","2022-08-11 14:25:15.140"
1916159,Zong,62,"2022-08-11 14:25:15.134","2022-08-11 14:25:15.140"
1916160,Zong,61,"2022-08-11 14:25:15.195","2022-08-11 14:25:15.198"
1916160,Zong,58,"2022-08-11 14:25:15.195","2022-08-11 14:25:15.198"
1916161,Zong,55,"2022-08-11 14:25:15.224","2022-08-11 14:25:15.238"
1916161,Zong,51,"2022-08-11 14:25:15.224","2022-08-11 14:25:15.238"
1916162,Zong,47,"2022-08-11 14:25:15.255","2022-08-11 14:25:15.261"
1916162,Zong,43,"2022-08-11 14:25:15.255","2022-08-11 14:25:15.261"
1916163,Zong,40,"2022-08-11 14:25:15.315","2022-08-11 14:25:15.345"
1916163,Zong,38,"2022-08-11 14:25:15.315","2022-08-11 14:25:15.345"
1916164,Zong,35,"2022-08-11 14:25:15.345","2022-08-11 14:25:15.348"
1916164,Zong,34,"2022-08-11 14:25:15.345","2022-08-11 14:25:15.348"
1916165,Zong,32,"2022-08-11 14:25:15.376","2022-08-11 14:25:15.380"
1916165,Zong,31,"2022-08-11 14:25:15.376","2022-08-11 14:25:15.380"
1916166,Zong,25,"2022-08-11 14:25:15.436","2022-08-11 14:25:15.440"
1916166,Zong,28,"2022-08-11 14:25:15.436","2022-08-11 14:25:15.440"
1916167,Zong,37,"2022-08-11 14:25:15.465","2022-08-11 14:25:15.469"
1916167,Zong,37,"2022-08-11 14:25:15.465","2022-08-11 14:25:15.469"
1916168,Zong,66,"2022-08-11 14:25:15.495","2022-08-11 14:25:15.513"
1916168,Zong,66,"2022-08-11 14:25:15.495","2022-08-11 14:25:15.513"
1916169,Zong,96,"2022-08-11 14:25:15.554","2022-08-11 14:25:15.582"
1916169,Zong,102,"2022-08-11 14:25:15.554","2022-08-11 14:25:15.582"
1916170,Zong,102,"2022-08-11 14:25:15.587","2022-08-11 14:25:15.591"
